id;description;date_operation;montant;operationcategorie_id
53;Produits alimentaires;2014-10-15;199.54;2
54;Boissons non alcoolisées;2014-10-14;130.44;3
55;Boissons alcoolisées et tabac;2014-10-14;250.78;4
56;Boissons alcoolisées;2014-10-14;394.25;5
57;Tabac;2014-10-14;240.84;6
58;Articles d'habillement et articles chaussants;2014-10-13;275.80;7
59;Articles d'habillement;2014-10-13;406.86;8
60;Articles chaussants;2014-10-13;190.98;9
61;Logement. eau. électricité. gaz et autres combustibles;2014-10-13;238.13;10
62;Loyers d'habitation réels;2014-10-12;290.80;11
63;Loyers d'habitation imputés;2014-10-12;213.37;12
64;Entretien et de réparation du logement;2014-10-12;353.78;13
65;Adduction d'eau et autres services relatifs au logement;2014-10-12;290.39;14
66;Électricité. gaz et autres combustibles;2014-10-11;335.11;15
67;Ameublement. équipement ménager et entretien courant de la maison;2014-10-11;430.62;16
68;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-10-11;480.76;17
69;Articles de ménage en textile;2014-10-11;391.41;18
70;Appareils ménagers;2014-10-10;495.68;19
71;Verrerie. vaisselle et ustensiles de ménage;2014-10-10;198.12;20
72;Outillage pour la maison et le jardin;2014-10-10;131.44;21
73;Biens et services pour l'entretien courant du logement;2014-10-10;78.39;22
74;Santé;2014-10-09;234.44;23
75;"Produits et appareils thérapeutiques; matériel médical";2014-10-09;97.19;24
76;Services de consultation externe;2014-10-09;247.84;25
77;Services hospitaliers;2014-10-09;305.98;26
78;Transports;2014-10-08;437.83;27
79;Achats de véhicules;2014-10-08;308.83;28
80;Utilisation de véhicules personnels;2014-10-08;55.48;29
81;Services de transport;2014-10-08;19.02;30
82;Communications;2014-10-07;39.14;31
83;Communications;2014-10-07;170.03;32
84;Loisirs et culture;2014-10-07;401.39;33
85;Équipements audiovisuels. photographiques et informatiques;2014-10-07;368.54;34
86;Autres biens durables importants du domaine des loisirs et de la culture;2014-10-06;237.00;35
87;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-10-06;209.49;36
88;Services récréatifs et culturels;2014-10-06;424.29;37
89;Édition. presse et papeterie;2014-10-06;376.94;38
90;Voyages à forfait;2014-10-05;438.25;39
91;Enseignement;2014-10-05;142.68;40
92;Enseignement;2014-10-05;181.41;41
93;Restaurants et hôtels;2014-10-05;236.97;42
94;Services de restauration;2014-10-04;497.73;43
95;Services d'hébergement;2014-10-04;14.87;44
96;Autres biens et servicesDocumentation des articles;2014-10-04;434.26;45
97;Soins personnels;2014-10-04;216.83;46
98;Effets personnels n.d.a.;2014-10-03;426.12;47
99;Protection sociale;2014-10-03;77.17;48
100;Assurances;2014-10-03;212.32;49
101;Services financiers n.d.a;2014-10-03;465.68;50
102;Autres services n.d.a;2014-10-02;313.43;51
103;Produits alimentaires et boissons non alcoolisées;2014-10-02;197.75;1
104;Produits alimentaires;2014-10-02;96.31;2
105;Boissons non alcoolisées;2014-10-02;267.23;3
106;Boissons alcoolisées et tabac;2014-10-01;378.08;4
107;Boissons alcoolisées;2014-10-01;126.05;5
108;Tabac;2014-10-01;37.24;6
109;Articles d'habillement et articles chaussants;2014-10-01;87.51;7
110;Articles d'habillement;2014-09-30;444.53;8
111;Articles chaussants;2014-09-30;295.93;9
112;Logement. eau. électricité. gaz et autres combustibles;2014-09-30;42.58;10
113;Loyers d'habitation réels;2014-09-30;208.40;11
114;Loyers d'habitation imputés;2014-09-29;295.97;12
115;Entretien et de réparation du logement;2014-09-29;271.33;13
116;Adduction d'eau et autres services relatifs au logement;2014-09-29;85.21;14
117;Électricité. gaz et autres combustibles;2014-09-29;3.47;15
118;Ameublement. équipement ménager et entretien courant de la maison;2014-09-28;181.17;16
119;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-09-28;122.49;17
120;Articles de ménage en textile;2014-09-28;175.73;18
121;Appareils ménagers;2014-09-28;443.08;19
122;Verrerie. vaisselle et ustensiles de ménage;2014-09-27;121.30;20
123;Outillage pour la maison et le jardin;2014-09-27;478.96;21
124;Biens et services pour l'entretien courant du logement;2014-09-27;385.81;22
125;Santé;2014-09-27;186.41;23
126;"Produits et appareils thérapeutiques; matériel médical";2014-09-26;250.27;24
127;Services de consultation externe;2014-09-26;398.95;25
128;Services hospitaliers;2014-09-26;94.45;26
129;Transports;2014-09-26;449.45;27
130;Achats de véhicules;2014-09-25;37.90;28
131;Utilisation de véhicules personnels;2014-09-25;36.50;29
132;Services de transport;2014-09-25;487.91;30
133;Communications;2014-09-25;434.74;31
134;Communications;2014-09-24;55.72;32
135;Loisirs et culture;2014-09-24;329.38;33
136;Équipements audiovisuels. photographiques et informatiques;2014-09-24;341.96;34
137;Autres biens durables importants du domaine des loisirs et de la culture;2014-09-24;22.02;35
138;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-09-23;236.58;36
139;Services récréatifs et culturels;2014-09-23;49.79;37
140;Édition. presse et papeterie;2014-09-23;167.87;38
141;Voyages à forfait;2014-09-23;387.49;39
142;Enseignement;2014-09-22;19.16;40
143;Enseignement;2014-09-22;476.42;41
144;Restaurants et hôtels;2014-09-22;285.79;42
145;Services de restauration;2014-09-22;12.04;43
146;Services d'hébergement;2014-09-21;246.21;44
147;Autres biens et servicesDocumentation des articles;2014-09-21;108.51;45
148;Soins personnels;2014-09-21;392.46;46
149;Effets personnels n.d.a.;2014-09-21;378.29;47
150;Protection sociale;2014-09-20;439.76;48
151;Assurances;2014-09-20;165.18;49
152;Services financiers n.d.a;2014-09-20;358.86;50
153;Autres services n.d.a;2014-09-20;78.59;51
154;Produits alimentaires et boissons non alcoolisées;2014-09-19;326.71;1
155;Produits alimentaires;2014-09-19;32.72;2
156;Boissons non alcoolisées;2014-09-19;307.29;3
157;Boissons alcoolisées et tabac;2014-09-19;79.28;4
158;Boissons alcoolisées;2014-09-18;137.91;5
159;Tabac;2014-09-18;228.55;6
160;Articles d'habillement et articles chaussants;2014-09-18;289.12;7
161;Articles d'habillement;2014-09-18;18.07;8
162;Articles chaussants;2014-09-17;485.32;9
163;Logement. eau. électricité. gaz et autres combustibles;2014-09-17;101.98;10
164;Loyers d'habitation réels;2014-09-17;49.18;11
165;Loyers d'habitation imputés;2014-09-17;133.44;12
166;Entretien et de réparation du logement;2014-09-16;150.81;13
167;Adduction d'eau et autres services relatifs au logement;2014-09-16;443.33;14
168;Électricité. gaz et autres combustibles;2014-09-16;274.15;15
169;Ameublement. équipement ménager et entretien courant de la maison;2014-09-16;474.28;16
170;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-09-15;87.34;17
171;Articles de ménage en textile;2014-09-15;265.87;18
172;Appareils ménagers;2014-09-15;307.85;19
173;Verrerie. vaisselle et ustensiles de ménage;2014-09-15;432.19;20
174;Outillage pour la maison et le jardin;2014-09-14;350.88;21
175;Biens et services pour l'entretien courant du logement;2014-09-14;359.06;22
176;Santé;2014-09-14;314.55;23
177;"Produits et appareils thérapeutiques; matériel médical";2014-09-14;436.27;24
178;Services de consultation externe;2014-09-13;218.96;25
179;Services hospitaliers;2014-09-13;449.38;26
180;Transports;2014-09-13;378.82;27
181;Achats de véhicules;2014-09-13;321.18;28
182;Utilisation de véhicules personnels;2014-09-12;71.97;29
183;Services de transport;2014-09-12;462.62;30
184;Communications;2014-09-12;445.73;31
185;Communications;2014-09-12;426.39;32
186;Loisirs et culture;2014-09-11;41.03;33
187;Équipements audiovisuels. photographiques et informatiques;2014-09-11;87.63;34
188;Autres biens durables importants du domaine des loisirs et de la culture;2014-09-11;467.07;35
189;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-09-11;407.56;36
190;Services récréatifs et culturels;2014-09-10;485.43;37
191;Édition. presse et papeterie;2014-09-10;406.35;38
192;Voyages à forfait;2014-09-10;458.90;39
193;Enseignement;2014-09-10;290.08;40
194;Enseignement;2014-09-09;494.08;41
195;Restaurants et hôtels;2014-09-09;463.88;42
196;Services de restauration;2014-09-09;318.82;43
197;Services d'hébergement;2014-09-09;324.18;44
198;Autres biens et servicesDocumentation des articles;2014-09-08;272.33;45
199;Soins personnels;2014-09-08;156.08;46
200;Effets personnels n.d.a.;2014-09-08;255.89;47
201;Protection sociale;2014-09-08;420.45;48
202;Assurances;2014-09-07;378.15;49
203;Services financiers n.d.a;2014-09-07;424.00;50
204;Autres services n.d.a;2014-09-07;494.13;51
205;Produits alimentaires et boissons non alcoolisées;2014-09-07;483.59;1
206;Produits alimentaires;2014-09-06;260.28;2
207;Boissons non alcoolisées;2014-09-06;480.77;3
208;Boissons alcoolisées et tabac;2014-09-06;420.50;4
209;Boissons alcoolisées;2014-09-06;232.32;5
210;Tabac;2014-09-05;114.00;6
211;Articles d'habillement et articles chaussants;2014-09-05;403.71;7
212;Articles d'habillement;2014-09-05;376.28;8
213;Articles chaussants;2014-09-05;412.67;9
214;Logement. eau. électricité. gaz et autres combustibles;2014-09-04;228.28;10
215;Loyers d'habitation réels;2014-09-04;497.81;11
216;Loyers d'habitation imputés;2014-09-04;156.87;12
217;Entretien et de réparation du logement;2014-09-04;292.86;13
218;Adduction d'eau et autres services relatifs au logement;2014-09-03;193.85;14
219;Électricité. gaz et autres combustibles;2014-09-03;205.31;15
220;Ameublement. équipement ménager et entretien courant de la maison;2014-09-03;450.09;16
221;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-09-03;362.79;17
222;Articles de ménage en textile;2014-09-02;444.67;18
223;Appareils ménagers;2014-09-02;189.42;19
224;Verrerie. vaisselle et ustensiles de ménage;2014-09-02;261.28;20
225;Outillage pour la maison et le jardin;2014-09-02;221.03;21
226;Biens et services pour l'entretien courant du logement;2014-09-01;177.93;22
227;Santé;2014-09-01;346.53;23
228;"Produits et appareils thérapeutiques; matériel médical";2014-09-01;191.44;24
229;Services de consultation externe;2014-09-01;71.55;25
230;Services hospitaliers;2014-08-31;455.27;26
231;Transports;2014-08-31;98.34;27
232;Achats de véhicules;2014-08-31;264.78;28
233;Utilisation de véhicules personnels;2014-08-31;329.08;29
234;Services de transport;2014-08-30;104.97;30
235;Communications;2014-08-30;196.38;31
236;Communications;2014-08-30;43.87;32
237;Loisirs et culture;2014-08-30;100.03;33
238;Équipements audiovisuels. photographiques et informatiques;2014-08-29;237.23;34
239;Autres biens durables importants du domaine des loisirs et de la culture;2014-08-29;441.83;35
240;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-08-29;211.46;36
241;Services récréatifs et culturels;2014-08-29;84.63;37
242;Édition. presse et papeterie;2014-08-28;350.95;38
243;Voyages à forfait;2014-08-28;152.01;39
244;Enseignement;2014-08-28;192.65;40
245;Enseignement;2014-08-28;339.65;41
246;Restaurants et hôtels;2014-08-27;102.23;42
247;Services de restauration;2014-08-27;346.74;43
248;Services d'hébergement;2014-08-27;391.36;44
249;Autres biens et servicesDocumentation des articles;2014-08-27;259.25;45
250;Soins personnels;2014-08-26;340.89;46
251;Effets personnels n.d.a.;2014-08-26;254.88;47
252;Protection sociale;2014-08-26;213.63;48
253;Assurances;2014-08-26;353.76;49
254;Services financiers n.d.a;2014-08-25;257.53;50
255;Autres services n.d.a;2014-08-25;474.20;51
256;Produits alimentaires et boissons non alcoolisées;2014-08-25;192.01;1
257;Produits alimentaires;2014-08-25;277.52;2
258;Boissons non alcoolisées;2014-08-24;330.20;3
259;Boissons alcoolisées et tabac;2014-08-24;369.65;4
260;Boissons alcoolisées;2014-08-24;471.60;5
261;Tabac;2014-08-24;132.24;6
262;Articles d'habillement et articles chaussants;2014-08-23;341.43;7
263;Articles d'habillement;2014-08-23;436.54;8
264;Articles chaussants;2014-08-23;400.83;9
265;Logement. eau. électricité. gaz et autres combustibles;2014-08-23;101.60;10
266;Loyers d'habitation réels;2014-08-22;172.95;11
267;Loyers d'habitation imputés;2014-08-22;371.95;12
268;Entretien et de réparation du logement;2014-08-22;282.01;13
269;Adduction d'eau et autres services relatifs au logement;2014-08-22;199.55;14
270;Électricité. gaz et autres combustibles;2014-08-21;163.82;15
271;Ameublement. équipement ménager et entretien courant de la maison;2014-08-21;208.38;16
272;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-08-21;171.68;17
273;Articles de ménage en textile;2014-08-21;362.51;18
274;Appareils ménagers;2014-08-20;295.86;19
275;Verrerie. vaisselle et ustensiles de ménage;2014-08-20;321.79;20
276;Outillage pour la maison et le jardin;2014-08-20;213.22;21
277;Biens et services pour l'entretien courant du logement;2014-08-20;157.30;22
278;Santé;2014-08-19;295.77;23
279;"Produits et appareils thérapeutiques; matériel médical";2014-08-19;195.20;24
280;Services de consultation externe;2014-08-19;127.91;25
281;Services hospitaliers;2014-08-19;178.30;26
282;Transports;2014-08-18;320.14;27
283;Achats de véhicules;2014-08-18;211.51;28
284;Utilisation de véhicules personnels;2014-08-18;374.85;29
285;Services de transport;2014-08-18;175.70;30
286;Communications;2014-08-17;347.14;31
287;Communications;2014-08-17;182.71;32
288;Loisirs et culture;2014-08-17;96.99;33
289;Équipements audiovisuels. photographiques et informatiques;2014-08-17;481.74;34
290;Autres biens durables importants du domaine des loisirs et de la culture;2014-08-16;92.89;35
291;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-08-16;302.22;36
292;Services récréatifs et culturels;2014-08-16;380.39;37
293;Édition. presse et papeterie;2014-08-16;142.48;38
294;Voyages à forfait;2014-08-15;441.96;39
295;Enseignement;2014-08-15;479.30;40
296;Enseignement;2014-08-15;257.06;41
297;Restaurants et hôtels;2014-08-15;250.07;42
298;Services de restauration;2014-08-14;210.78;43
299;Services d'hébergement;2014-08-14;115.07;44
300;Autres biens et servicesDocumentation des articles;2014-08-14;330.30;45
301;Soins personnels;2014-08-14;221.52;46
302;Effets personnels n.d.a.;2014-08-13;55.27;47
303;Protection sociale;2014-08-13;277.54;48
304;Assurances;2014-08-13;469.35;49
305;Services financiers n.d.a;2014-08-13;82.42;50
306;Autres services n.d.a;2014-08-12;70.09;51
307;Produits alimentaires et boissons non alcoolisées;2014-08-12;182.52;1
308;Produits alimentaires;2014-08-12;145.98;2
309;Boissons non alcoolisées;2014-08-12;415.41;3
310;Boissons alcoolisées et tabac;2014-08-11;365.06;4
311;Boissons alcoolisées;2014-08-11;84.04;5
312;Tabac;2014-08-11;284.54;6
313;Articles d'habillement et articles chaussants;2014-08-11;358.14;7
314;Articles d'habillement;2014-08-10;422.83;8
315;Articles chaussants;2014-08-10;407.20;9
316;Logement. eau. électricité. gaz et autres combustibles;2014-08-10;331.69;10
317;Loyers d'habitation réels;2014-08-10;307.35;11
318;Loyers d'habitation imputés;2014-08-09;210.43;12
319;Entretien et de réparation du logement;2014-08-09;39.54;13
320;Adduction d'eau et autres services relatifs au logement;2014-08-09;26.98;14
321;Électricité. gaz et autres combustibles;2014-08-09;296.79;15
322;Ameublement. équipement ménager et entretien courant de la maison;2014-08-08;282.95;16
323;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-08-08;404.94;17
324;Articles de ménage en textile;2014-08-08;64.85;18
325;Appareils ménagers;2014-08-08;211.52;19
326;Verrerie. vaisselle et ustensiles de ménage;2014-08-07;304.68;20
327;Outillage pour la maison et le jardin;2014-08-07;39.07;21
328;Biens et services pour l'entretien courant du logement;2014-08-07;171.80;22
329;Santé;2014-08-07;66.70;23
330;"Produits et appareils thérapeutiques; matériel médical";2014-08-06;8.19;24
331;Services de consultation externe;2014-08-06;251.40;25
332;Services hospitaliers;2014-08-06;83.67;26
333;Transports;2014-08-06;13.69;27
334;Achats de véhicules;2014-08-05;146.68;28
335;Utilisation de véhicules personnels;2014-08-05;192.58;29
336;Services de transport;2014-08-05;425.68;30
337;Communications;2014-08-05;14.62;31
338;Communications;2014-08-04;95.45;32
339;Loisirs et culture;2014-08-04;61.52;33
340;Équipements audiovisuels. photographiques et informatiques;2014-08-04;127.22;34
341;Autres biens durables importants du domaine des loisirs et de la culture;2014-08-04;217.01;35
342;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-08-03;32.63;36
343;Services récréatifs et culturels;2014-08-03;298.02;37
344;Édition. presse et papeterie;2014-08-03;216.67;38
345;Voyages à forfait;2014-08-03;178.59;39
346;Enseignement;2014-08-02;413.08;40
347;Enseignement;2014-08-02;263.93;41
348;Restaurants et hôtels;2014-08-02;265.63;42
349;Services de restauration;2014-08-02;278.10;43
350;Services d'hébergement;2014-08-01;406.46;44
351;Autres biens et servicesDocumentation des articles;2014-08-01;351.17;45
352;Soins personnels;2014-08-01;382.14;46
353;Effets personnels n.d.a.;2014-08-01;95.81;47
354;Protection sociale;2014-07-31;109.63;48
355;Assurances;2014-07-31;462.83;49
356;Services financiers n.d.a;2014-07-31;13.59;50
357;Autres services n.d.a;2014-07-31;244.23;51
358;Produits alimentaires et boissons non alcoolisées;2014-07-30;132.78;1
359;Produits alimentaires;2014-07-30;251.47;2
360;Boissons non alcoolisées;2014-07-30;10.45;3
361;Boissons alcoolisées et tabac;2014-07-30;429.26;4
362;Boissons alcoolisées;2014-07-29;192.98;5
363;Tabac;2014-07-29;173.69;6
364;Articles d'habillement et articles chaussants;2014-07-29;482.84;7
365;Articles d'habillement;2014-07-29;391.61;8
366;Articles chaussants;2014-07-28;409.48;9
367;Logement. eau. électricité. gaz et autres combustibles;2014-07-28;245.33;10
368;Loyers d'habitation réels;2014-07-28;282.58;11
369;Loyers d'habitation imputés;2014-07-28;358.53;12
370;Entretien et de réparation du logement;2014-07-27;314.37;13
371;Adduction d'eau et autres services relatifs au logement;2014-07-27;145.84;14
372;Électricité. gaz et autres combustibles;2014-07-27;407.13;15
373;Ameublement. équipement ménager et entretien courant de la maison;2014-07-27;262.04;16
374;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-07-26;169.44;17
375;Articles de ménage en textile;2014-07-26;170.01;18
376;Appareils ménagers;2014-07-26;355.28;19
377;Verrerie. vaisselle et ustensiles de ménage;2014-07-26;139.99;20
378;Outillage pour la maison et le jardin;2014-07-25;22.45;21
379;Biens et services pour l'entretien courant du logement;2014-07-25;429.55;22
380;Santé;2014-07-25;418.78;23
381;"Produits et appareils thérapeutiques; matériel médical";2014-07-25;358.96;24
382;Services de consultation externe;2014-07-24;418.03;25
383;Services hospitaliers;2014-07-24;378.40;26
384;Transports;2014-07-24;279.36;27
385;Achats de véhicules;2014-07-24;349.03;28
386;Utilisation de véhicules personnels;2014-07-23;312.83;29
387;Services de transport;2014-07-23;304.45;30
388;Communications;2014-07-23;90.71;31
389;Communications;2014-07-23;342.46;32
390;Loisirs et culture;2014-07-22;326.05;33
391;Équipements audiovisuels. photographiques et informatiques;2014-07-22;75.34;34
392;Autres biens durables importants du domaine des loisirs et de la culture;2014-07-22;21.82;35
393;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-07-22;58.19;36
394;Services récréatifs et culturels;2014-07-21;39.88;37
395;Édition. presse et papeterie;2014-07-21;403.31;38
396;Voyages à forfait;2014-07-21;439.57;39
397;Enseignement;2014-07-21;401.07;40
398;Enseignement;2014-07-20;11.18;41
399;Restaurants et hôtels;2014-07-20;5.56;42
400;Services de restauration;2014-07-20;367.89;43
401;Services d'hébergement;2014-07-20;455.51;44
402;Autres biens et servicesDocumentation des articles;2014-07-19;188.44;45
403;Soins personnels;2014-07-19;336.67;46
404;Effets personnels n.d.a.;2014-07-19;392.00;47
405;Protection sociale;2014-07-19;358.58;48
406;Assurances;2014-07-18;401.15;49
407;Services financiers n.d.a;2014-07-18;325.19;50
408;Autres services n.d.a;2014-07-18;78.23;51
409;Produits alimentaires et boissons non alcoolisées;2014-07-18;196.94;1
410;Produits alimentaires;2014-07-17;57.99;2
411;Boissons non alcoolisées;2014-07-17;48.68;3
412;Boissons alcoolisées et tabac;2014-07-17;130.47;4
413;Boissons alcoolisées;2014-07-17;461.61;5
414;Tabac;2014-07-16;226.26;6
415;Articles d'habillement et articles chaussants;2014-07-16;475.60;7
416;Articles d'habillement;2014-07-16;428.97;8
417;Articles chaussants;2014-07-16;262.75;9
418;Logement. eau. électricité. gaz et autres combustibles;2014-07-15;245.25;10
419;Loyers d'habitation réels;2014-07-15;479.15;11
420;Loyers d'habitation imputés;2014-07-15;383.60;12
421;Entretien et de réparation du logement;2014-07-15;241.26;13
422;Adduction d'eau et autres services relatifs au logement;2014-07-14;145.27;14
423;Électricité. gaz et autres combustibles;2014-07-14;283.51;15
424;Ameublement. équipement ménager et entretien courant de la maison;2014-07-14;224.97;16
425;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-07-14;327.14;17
426;Articles de ménage en textile;2014-07-13;16.81;18
427;Appareils ménagers;2014-07-13;396.92;19
428;Verrerie. vaisselle et ustensiles de ménage;2014-07-13;157.46;20
429;Outillage pour la maison et le jardin;2014-07-13;473.93;21
430;Biens et services pour l'entretien courant du logement;2014-07-12;142.41;22
431;Santé;2014-07-12;480.14;23
432;"Produits et appareils thérapeutiques; matériel médical";2014-07-12;36.94;24
433;Services de consultation externe;2014-07-12;219.09;25
434;Services hospitaliers;2014-07-11;279.63;26
435;Transports;2014-07-11;263.36;27
436;Achats de véhicules;2014-07-11;244.73;28
437;Utilisation de véhicules personnels;2014-07-11;318.91;29
438;Services de transport;2014-07-10;164.60;30
439;Communications;2014-07-10;371.89;31
440;Communications;2014-07-10;177.76;32
441;Loisirs et culture;2014-07-10;346.36;33
442;Équipements audiovisuels. photographiques et informatiques;2014-07-09;481.98;34
443;Autres biens durables importants du domaine des loisirs et de la culture;2014-07-09;50.68;35
444;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-07-09;494.32;36
445;Services récréatifs et culturels;2014-07-09;16.39;37
446;Édition. presse et papeterie;2014-07-08;69.37;38
447;Voyages à forfait;2014-07-08;400.16;39
448;Enseignement;2014-07-08;267.42;40
449;Enseignement;2014-07-08;467.20;41
450;Restaurants et hôtels;2014-07-07;8.29;42
451;Services de restauration;2014-07-07;481.34;43
452;Services d'hébergement;2014-07-07;357.38;44
453;Autres biens et servicesDocumentation des articles;2014-07-07;299.91;45
454;Soins personnels;2014-07-06;341.46;46
455;Effets personnels n.d.a.;2014-07-06;146.06;47
456;Protection sociale;2014-07-06;71.55;48
457;Assurances;2014-07-06;211.85;49
458;Services financiers n.d.a;2014-07-05;326.63;50
459;Autres services n.d.a;2014-07-05;408.60;51
460;Produits alimentaires et boissons non alcoolisées;2014-07-05;276.75;1
461;Produits alimentaires;2014-07-05;56.85;2
462;Boissons non alcoolisées;2014-07-04;357.18;3
463;Boissons alcoolisées et tabac;2014-07-04;282.39;4
464;Boissons alcoolisées;2014-07-04;139.96;5
465;Tabac;2014-07-04;106.11;6
466;Articles d'habillement et articles chaussants;2014-07-03;480.36;7
467;Articles d'habillement;2014-07-03;57.48;8
468;Articles chaussants;2014-07-03;318.04;9
469;Logement. eau. électricité. gaz et autres combustibles;2014-07-03;466.69;10
470;Loyers d'habitation réels;2014-07-02;442.36;11
471;Loyers d'habitation imputés;2014-07-02;493.62;12
472;Entretien et de réparation du logement;2014-07-02;188.34;13
473;Adduction d'eau et autres services relatifs au logement;2014-07-02;20.76;14
474;Électricité. gaz et autres combustibles;2014-07-01;130.96;15
475;Ameublement. équipement ménager et entretien courant de la maison;2014-07-01;455.30;16
476;Meubles. articles d'ameublement et décoration. tapis et autres revêtements de sol;2014-07-01;129.99;17
477;Articles de ménage en textile;2014-07-01;89.83;18
478;Appareils ménagers;2014-06-30;194.34;19
479;Verrerie. vaisselle et ustensiles de ménage;2014-06-30;111.93;20
480;Outillage pour la maison et le jardin;2014-06-30;472.06;21
481;Biens et services pour l'entretien courant du logement;2014-06-30;493.27;22
482;Santé;2014-06-29;64.22;23
483;"Produits et appareils thérapeutiques; matériel médical";2014-06-29;493.55;24
484;Services de consultation externe;2014-06-29;457.00;25
485;Services hospitaliers;2014-06-29;469.47;26
486;Transports;2014-06-28;38.79;27
487;Achats de véhicules;2014-06-28;36.32;28
488;Utilisation de véhicules personnels;2014-06-28;289.04;29
489;Services de transport;2014-06-28;343.25;30
490;Communications;2014-06-27;402.56;31
491;Communications;2014-06-27;377.15;32
492;Loisirs et culture;2014-06-27;446.56;33
493;Équipements audiovisuels. photographiques et informatiques;2014-06-27;110.46;34
494;Autres biens durables importants du domaine des loisirs et de la culture;2014-06-26;243.44;35
495;"Autres articles et équipements de loisirs; fleurs. jardins et animaux d'agrément";2014-06-26;449.93;36
496;Services récréatifs et culturels;2014-06-26;330.62;37
497;Édition. presse et papeterie;2014-06-26;75.48;38
498;Voyages à forfait;2014-06-25;89.48;39
499;Enseignement;2014-06-25;302.71;40
500;Enseignement;2014-06-25;374.84;41
501;Restaurants et hôtels;2014-06-25;255.86;42
502;Services de restauration;2014-06-24;243.25;43
503;Services d'hébergement;2014-06-24;445.41;44
